Source,Dest,RateLimit,Latency,LeaseCost
85,245,15,2.205763,566
138,29,9,10.684809,1108
28,169,13,19.251364,996
27,259,6,3.283159,1121
398,95,20,1.609799,877
281,166,11,15.531526,733
78,47,6,4.589945,299
207,283,18,2.601798,771
303,27,15,5.150716,526
109,296,15,19.346581,729
343,206,7,12.155052,319
279,56,11,10.901203,139
22,83,18,2.095453,1083
262,228,7,20.178151,120
220,158,20,2.407239,1196
354,383,8,15.699365,352
229,289,12,18.016680,1130
323,345,19,4.474276,555
196,254,12,2.324256,969
293,380,6,18.020680,105
368,105,12,7.882247,388
46,232,11,15.057428,756
219,327,15,14.848248,182
306,231,14,8.066536,1093
172,32,9,19.955070,668
260,231,17,5.067413,389
229,84,16,10.367365,399
30,119,12,7.573494,339
177,216,6,7.490559,880
188,104,8,12.178872,566
354,380,12,17.388613,701
341,337,20,7.452778,192
191,108,14,16.081803,239
90,205,13,0.279572,981
355,57,18,4.132238,1118
154,166,19,6.129195,164
177,311,12,8.705696,606
392,152,6,1.230633,1067
30,15,5,2.437330,226
268,166,12,8.738352,536
288,299,9,20.016204,209
357,159,5,12.535342,1084
397,238,18,13.414257,551
117,54,20,7.777619,788
312,273,9,13.036758,999
372,362,18,0.902602,649
110,281,14,10.518778,1045
282,250,17,13.548277,508
89,386,8,1.658367,174
190,191,18,10.933723,1183
76,394,7,10.990017,123
158,213,5,14.185450,224
14,370,11,4.602575,176
164,270,7,14.044466,483
52,171,7,13.365148,884
299,203,15,6.515985,948
158,308,7,8.087845,470
118,225,10,5.725632,964
296,76,8,1.651129,897
399,159,18,3.105480,667
71,201,18,10.478530,290
93,304,19,12.694290,476
168,377,17,4.573859,566
227,126,13,12.942841,703
95,186,20,17.301374,876
81,353,8,9.763696,787
200,327,17,17.362063,754
197,32,15,10.757134,710
83,320,7,14.864261,620
112,61,5,12.881412,1117
264,351,20,9.789709,1012
245,189,16,12.135350,962
15,315,13,0.701946,361
160,7,9,13.258593,716
263,228,15,4.428609,1108
46,7,17,1.312015,568
328,225,8,1.202224,952
282,274,7,16.647502,539
206,155,8,16.675156,666
62,308,17,8.757851,384
5,161,10,17.726722,1156
73,306,16,12.362499,965
269,263,18,19.468999,1142
313,211,6,18.523905,945
72,68,19,1.690849,799
109,127,9,14.411695,842
43,275,13,15.541620,123
190,379,6,13.863958,971
318,127,14,3.978415,763
327,326,9,7.502194,1071
6,384,8,10.933929,259
250,166,7,16.817335,783
192,392,16,9.577859,618
261,179,7,6.582634,490
129,33,13,8.506794,1017
119,101,12,9.093414,792
358,53,14,0.433672,580
285,355,10,3.013084,990
27,312,20,9.120931,1188
129,299,13,10.287181,511
293,126,7,20.312471,333
376,239,10,14.064636,938
12,64,6,1.730930,707
213,356,19,4.790433,436
77,237,7,14.656715,774
395,235,13,14.046835,220
20,136,15,20.111355,209
105,314,19,20.159300,923
325,367,16,5.083087,1190
59,233,5,4.914761,143
340,312,17,8.848299,145
245,399,9,0.197933,104
213,64,20,11.423565,1054
110,280,5,20.465501,693
312,172,20,5.386689,964
83,193,15,10.484972,660
18,94,12,2.981561,139
24,340,15,13.863128,249
345,204,5,16.536340,863
301,56,16,3.140291,690
164,263,7,12.415248,527
53,323,7,6.325905,531
252,102,11,20.232401,1054
104,332,16,19.148339,165
308,122,18,5.754884,1086
71,191,16,12.576641,595
164,84,10,1.428144,794
240,225,8,7.375455,158
330,146,20,17.614204,1015
96,0,17,5.658117,485
83,106,14,10.333524,904
320,176,7,15.217320,1136
91,368,12,14.278657,694
75,183,15,3.658420,1138
315,168,10,15.271711,693
