Source,Dest,RateLimit,Latency,LeaseCost
74,671,16,8.217429,1193
719,546,8,1.438950,1158
212,171,13,17.071335,520
120,579,17,13.038110,438
238,368,9,13.914087,1079
896,543,18,2.813021,1195
563,189,16,8.579623,607
505,33,5,17.516341,1054
97,848,15,3.305761,1113
935,17,13,20.344603,1021
111,946,19,3.872499,781
727,217,14,9.376458,1016
834,889,17,19.023857,956
207,393,12,9.858629,657
107,750,16,1.568315,161
835,4,19,9.172732,681
365,248,9,2.363764,738
381,932,16,11.261425,1002
642,886,16,15.695842,738
550,797,11,8.846933,188
239,189,20,13.367845,738
759,274,8,11.781675,331
667,532,13,1.547979,429
471,257,10,9.103496,694
347,673,12,4.051488,456
842,904,12,17.388613,701
810,801,20,7.452778,192
455,256,14,16.081803,239
215,487,13,0.279572,981
844,136,18,4.132238,1118
366,396,19,6.129195,164
421,740,12,8.705696,606
933,361,6,1.230633,1067
72,37,5,2.437330,226
638,395,12,8.738352,536
685,710,9,20.016204,209
849,378,5,12.535342,1084
943,566,18,13.414257,551
279,128,20,7.777619,788
742,650,9,13.036758,999
884,861,18,0.902602,649
261,669,14,10.518778,1045
671,595,17,13.548277,508
212,918,8,1.658367,174
452,455,18,10.933723,1183
182,937,7,10.990017,123
376,508,5,14.185450,224
33,880,11,4.602575,176
389,643,7,14.044466,483
16,639,7,3.785237,694
619,677,16,13.598676,907
301,732,11,3.403343,431
374,319,9,6.457064,899
265,746,16,4.516608,434
76,688,20,16.667138,990
143,489,7,17.724404,234
485,164,16,4.791092,937
833,381,14,8.639346,1140
723,894,8,11.662644,446
485,469,15,4.893641,613
926,125,18,4.193077,1072
213,708,12,10.288548,1000
712,604,18,10.108910,190
620,330,13,4.290826,980
133,242,16,5.790178,268
18,16,15,13.576479,1066
946,181,12,12.557188,620
683,835,14,0.802807,967
515,2,5,8.249698,119
240,876,15,13.523302,729
613,714,8,2.382434,121
752,224,6,16.835792,720
210,868,5,14.457058,855
172,745,17,10.591605,527
204,252,18,3.188099,948
754,718,11,0.273557,544
302,760,18,3.757095,942
668,345,14,13.835881,824
902,899,17,1.913696,494
858,729,11,3.740457,288
857,388,6,5.630222,450
277,205,16,2.244891,858
518,339,17,9.750144,1143
88,320,15,16.323226,451
534,603,8,16.807020,998
277,211,10,0.327807,1159
234,463,13,12.817189,559
120,330,18,9.888046,1178
666,257,12,13.404907,593
144,140,10,6.631752,192
485,391,11,0.991958,651
282,241,12,9.093414,792
852,126,14,0.433672,580
323,813,7,1.387015,960
912,317,12,6.612768,923
531,322,13,15.059413,449
129,690,20,19.275280,760
311,166,15,19.643437,561
29,153,6,1.730930,707
702,659,13,18.349118,1026
221,290,8,2.892315,270
679,581,20,10.790766,463
650,103,5,13.385565,1001
931,94,9,18.731681,364
934,710,18,14.126722,1108
140,554,5,4.914761,143
807,741,17,8.848299,145
583,949,9,0.197933,104
915,705,13,5.669680,871
48,253,20,15.995287,574
946,330,9,4.282801,632
618,631,13,0.932581,361
419,867,7,1.255674,1037
633,512,15,17.706797,664
18,246,17,15.475127,255
685,12,7,8.413685,824
129,764,14,2.736115,989
172,916,9,12.923885,381
368,558,20,5.351175,1014
887,56,17,17.061631,700
266,851,7,14.481625,461
582,427,11,7.069803,966
66,599,14,4.180225,830
341,50,18,20.099347,870
816,790,8,16.439587,855
199,254,14,10.333524,904
