Source,Dest,RateLimit,Latency,LeaseCost
1035,1226,15,10.371775,224
1975,1834,20,1.137248,1067
660,1118,13,5.371343,418
1907,288,14,20.123893,908
1491,1373,18,19.133577,897
1449,1448,18,18.498117,575
200,629,8,10.581202,817
1449,1997,9,5.381052,732
526,1755,13,5.580935,183
748,1240,9,4.464944,588
1350,305,8,14.528809,617
651,494,10,8.684487,301
691,2216,20,14.654083,1033
1366,2131,18,13.111756,500
209,1197,9,8.566918,963
317,565,13,16.847370,115
2000,2223,7,0.292635,321
2312,964,11,1.109510,429
146,1110,17,11.060314,567
1150,2455,11,12.487679,166
2196,296,13,0.813364,140
1673,297,6,8.526304,638
1441,1065,11,15.338428,396
287,2441,6,8.174186,109
1851,1528,19,12.231568,1009
660,1635,11,2.767918,1134
988,948,15,14.033419,400
935,1589,18,18.596334,1037
2050,110,12,14.449620,766
2081,1282,18,12.848875,942
2219,1652,10,19.816389,312
2028,202,6,9.822683,1003
1812,1333,20,20.232994,279
673,1340,5,10.966840,146
1893,1729,6,18.997677,572
1238,561,6,13.881428,254
255,1712,10,13.790747,243
1070,461,13,14.610355,923
1271,1658,16,15.804451,536
1925,415,9,6.898083,424
1406,787,16,16.101435,917
479,550,9,14.852028,1198
995,2032,17,10.566613,297
305,1277,7,15.648903,357
1902,2193,11,7.005406,563
2362,1903,20,8.680845,726
787,1277,12,11.245293,362
1165,2436,7,14.460976,325
2209,561,16,12.798673,652
2044,1875,15,12.194455,642
204,1631,10,11.372390,330
2000,350,9,9.688864,410
382,49,5,18.936825,829
476,1193,18,9.698686,891
2199,1479,17,16.153132,697
5,85,8,0.364044,378
2306,1616,13,11.720443,810
1879,540,19,0.407398,971
591,160,11,11.551491,344
2286,146,17,14.061736,299
1962,2030,11,7.951345,336
664,2033,13,15.806319,974
1890,1068,9,8.272350,450
2398,458,17,7.448825,763
1966,1687,15,7.166971,1145
2368,1961,13,7.349035,1094
1920,961,20,3.506005,1093
1023,206,15,6.533286,421
540,1757,15,14.131355,700
53,1189,20,6.919346,844
1979,1990,10,13.014363,313
1506,2049,18,4.554892,502
2205,39,20,10.003799,687
362,1563,11,7.140004,1003
1551,1205,20,5.548017,614
1176,1634,12,3.038514,453
886,808,6,8.445483,556
2082,120,13,5.202496,616
1887,1108,15,2.721011,735
240,52,11,18.233732,474
2140,367,17,16.016363,1157
835,1112,20,15.337258,716
849,1254,10,6.505002,249
1816,2477,8,12.290722,461
437,1715,17,8.590645,133
404,185,11,11.306031,460
180,1849,16,18.264927,1085
2102,584,9,12.152233,255
386,1787,14,12.047302,679
824,1713,6,6.974456,818
2046,2452,6,16.129258,1106
599,2458,16,18.845812,858
2290,619,20,11.960415,132
428,599,5,15.999257,955
1260,1079,5,20.482247,397
534,24,5,3.288349,1160
1855,1393,18,14.362499,155
666,2495,13,8.826949,1196
868,656,17,9.921727,816
1662,1278,13,4.863299,585
2283,363,5,17.455562,834
1348,1690,7,10.504220,121
647,2016,16,2.890385,894
32,382,13,13.484664,249
2010,1514,11,16.568761,300
2411,771,11,5.238223,527
1470,2467,18,17.032792,896
149,1926,9,11.182591,409
2239,449,12,6.730437,775
1124,1031,8,16.129222,176
1577,1501,14,13.606677,496
133,2063,10,14.348942,1046
2079,602,5,14.069695,403
874,524,9,9.177111,654
1826,2002,12,12.637479,917
2353,571,19,16.255004,866
1348,468,12,16.292766,296
2359,1971,11,7.163160,920
1347,650,8,12.572373,124
1618,1129,14,15.650507,949
207,999,14,16.029900,638
2007,2366,9,17.173848,606
1744,1380,8,19.728829,387
1394,1219,17,9.669612,427
