Source,Dest,RateLimit,Latency,LeaseCost
5236,3558,15,6.515985,948
2774,5390,7,8.087845,470
2065,3938,10,5.725632,964
5197,1341,8,1.651129,897
6983,2786,18,3.105480,667
1254,3525,18,10.478530,290
4829,5343,8,17.990404,542
4334,2392,11,15.606573,1136
3982,2205,13,12.942841,703
1670,3263,20,17.301374,876
1431,6185,8,9.763696,787
3513,5723,17,17.362063,754
3451,572,15,10.757134,710
1465,5600,7,14.864261,620
1977,1071,5,12.881412,1117
4635,6144,20,9.789709,1012
4287,3311,16,12.135350,962
274,5515,13,0.701946,361
2816,124,9,13.258593,716
4617,4002,15,4.428609,1108
813,139,17,1.312015,568
5748,3944,8,1.202224,952
4936,4801,7,16.647502,539
3616,2715,8,16.675156,666
1088,5397,17,8.757851,384
93,2824,10,17.726722,1156
1282,5358,16,12.362499,965
4724,4607,18,19.468999,1142
5492,3696,6,18.523905,945
2693,6931,7,18.500980,550
1922,2230,9,14.411695,842
766,4825,13,15.541620,123
3329,6632,6,13.863958,971
5573,2233,14,3.978415,763
5738,5710,9,7.502194,1071
111,6734,8,10.933929,259
885,2438,18,9.888046,1178
4910,1894,12,13.404907,593
1064,1037,10,6.631752,192
3577,2883,11,0.991958,651
2084,1776,12,9.093414,792
6278,929,14,0.433672,580
4998,6226,10,3.013084,990
473,5469,20,9.120931,1188
3917,2379,13,15.059413,449
951,5087,20,19.275280,760
2298,1226,15,19.643437,561
215,1131,6,1.730930,707
5178,4860,13,18.349118,1026
1635,2137,8,2.892315,270
5004,4286,20,10.790766,463
4796,764,5,13.385565,1001
6867,695,9,18.731681,364
6883,5235,18,14.126722,1108
1735,6934,7,0.610599,288
1678,276,18,15.936937,655
3021,286,14,5.544869,335
67,25,13,19.747164,917
3900,6071,9,1.037970,393
6988,3772,17,20.417355,482
1839,5494,8,13.346018,832
3580,3564,5,9.048253,1105
1018,252,5,13.678578,693
4733,947,18,0.407070,385
5646,4854,17,14.800313,114
1072,3755,11,2.786015,985
4239,2718,7,3.729351,1162
2160,2744,15,7.958544,747
6908,6070,9,14.833349,361
6538,419,17,17.061631,700
1965,6271,7,14.481625,461
4294,3147,11,7.069803,966
487,4417,14,4.180225,830
2518,374,18,20.099347,870
6014,5822,8,16.439587,855
1932,2447,8,12.631872,592
3528,5113,17,2.674557,778
5196,6588,8,9.717984,973
4875,3777,8,13.930460,975
1249,6605,17,7.401146,484
5214,3774,9,13.181250,775
154,4532,12,20.495759,940
3094,5473,12,19.408354,440
1557,5864,12,11.320395,363
2250,6736,9,10.000652,982
5266,3301,9,4.874030,566
2079,3675,20,15.874553,722
3996,632,19,1.625889,199
4668,518,6,16.350583,132
2808,2703,9,9.802109,503
67,6357,20,8.854665,368
4954,5901,12,16.297589,177
4548,6874,7,5.586940,452
4885,4283,7,18.702371,1116
4740,1674,5,5.522362,350
3061,6803,15,5.654700,628
2102,6810,13,17.387105,327
997,4248,12,1.361518,838
1356,1764,5,11.331761,500
3933,6644,16,10.989129,749
6837,1661,5,10.699255,490
6909,333,13,12.932111,157
1421,2870,16,7.707958,255
4001,3922,14,4.054612,534
2193,6980,11,7.310686,922
2503,3439,17,14.043231,486
5281,4074,15,20.237094,414
1410,6683,15,10.673899,401
1725,290,17,8.356837,221
3446,4734,16,5.704321,994
2176,3359,20,8.464839,921
6607,5657,11,4.808842,583
4944,4370,9,10.446980,1199
1124,4879,18,10.655736,716
6834,3246,17,1.847535,659
4334,4767,19,13.090180,360
5069,5690,12,7.459403,965
6027,5058,19,2.280035,582
3165,3286,11,8.005226,421
3487,5344,19,13.037327,943
3424,5896,6,12.024808,394
6577,1368,10,3.218870,501
3633,6647,10,5.162412,483
2855,5367,20,8.228589,343
1145,5152,17,1.357748,547
529,4975,8,8.811380,396
5795,5136,6,10.762172,1141
5356,2738,16,4.225833,1199
4510,2991,18,8.582317,128
3927,580,11,20.359294,202
4954,6952,14,3.641609,794
4537,1106,11,4.066383,522
6268,4918,15,11.018632,599
1564,6513,14,5.043201,315
5002,1674,15,13.753345,889
5779,6740,9,4.843733,222
4570,5218,13,14.572343,487
4502,5637,9,20.001526,1096
6300,2196,18,12.858248,726
3072,4600,5,8.154943,408
2715,4715,19,6.570938,208
6096,2482,19,19.052903,741
5705,2313,9,14.405933,347
4963,6636,14,3.855355,850
6969,5761,10,18.948765,932
5313,5643,11,7.469696,1105
2660,2491,16,10.070844,141
5276,5372,11,16.190987,300
6037,3839,17,11.030818,1032
6827,3754,8,15.237124,892
5381,300,14,12.509701,168
3319,3240,19,9.324564,126
1222,1709,7,0.041343,877
1862,5008,20,7.873077,436
3390,4606,10,15.627423,229
3394,5369,14,5.822276,917
225,5474,14,10.582541,432
5612,3346,15,1.679191,272
5026,6211,18,19.521383,816
5954,3262,16,16.635897,257
299,1702,12,15.522632,318
6904,3889,9,17.084978,1053
238,5684,6,0.487595,499
2034,6378,11,1.797021,807
5665,1817,18,9.959097,935
2009,1367,9,1.051918,124
5034,6102,13,13.158880,412
509,4368,5,11.643723,784
6225,1890,8,7.653347,137
4962,2234,15,6.149979,931
6811,3136,5,10.315776,833
2544,6972,17,10.030848,863
6728,6751,9,2.865730,1041
2897,5426,10,7.579445,167
2373,4998,18,6.530069,1063
5958,2644,18,4.691483,969
1933,616,11,5.812716,628
1773,1177,6,10.969625,770
6433,6080,14,10.407717,987
6803,1507,11,5.730095,722
5822,4294,18,1.242932,145
1945,3623,5,2.976367,544
4501,3791,9,10.203247,103
3930,6508,9,19.270969,1198
1889,6963,20,15.691912,783
3384,1993,16,2.421673,104
5009,4154,10,0.615216,477
4283,599,18,7.625009,761
5429,6604,17,19.237774,1148
109,3803,17,2.384926,454
3803,4056,6,2.221858,998
1513,6785,6,5.662395,311
2598,4708,16,11.142466,295
1643,1200,15,11.494658,1038
4074,3150,12,18.548161,210
5775,1923,19,15.490213,913
834,5586,9,10.970493,327
236,3066,13,6.229895,486
1708,5954,11,3.599031,851
736,6718,19,3.541427,753
3133,613,15,4.468677,825
395,4344,16,10.201638,732
6514,2424,12,1.111119,1055
2005,5295,13,8.917693,456
245,3561,18,13.916699,162
4271,3999,7,2.944395,341
5353,6604,6,15.326544,881
5027,5573,17,15.649330,388
2444,1671,17,0.401251,132
2682,2539,6,11.827607,201
6657,5748,5,12.423220,423
328,1142,14,6.729875,110
6005,952,8,3.423797,858
5185,1119,16,16.094599,989
5932,2685,19,7.875400,1006
4131,3117,10,20.441117,369
4807,4154,16,5.895984,745
2204,248,13,9.456993,1047
5581,2889,5,5.488567,1006
2601,4405,16,19.488206,703
425,5646,16,13.549109,983
428,1291,15,20.309417,344
4220,2226,9,12.903557,994
1474,5840,19,19.329966,198
1557,5957,9,13.926828,248
1378,3371,14,11.998620,578
548,3649,20,19.483851,1148
5266,2359,17,0.676655,648
6336,5892,17,13.023357,1151
3591,2725,12,4.965070,615
470,2657,9,2.589652,1026
6980,1239,6,15.396312,269
3784,769,18,18.584460,928
1664,1200,6,15.762144,235
6793,5540,5,5.925246,151
6779,4064,15,14.634736,856
2368,411,17,2.301298,583
317,444,15,12.818527,703
3672,4667,15,13.597715,445
725,936,16,9.789501,851
5122,1767,14,3.338489,913
2630,3089,20,16.671131,296
6535,6629,9,7.106861,858
1572,3303,9,10.998075,351
3216,3291,12,0.342110,508
696,2416,19,0.432714,317
1660,6422,6,11.898981,224
2970,2749,13,4.328717,806
763,5242,15,9.976462,356
5473,2664,10,6.069803,818
1248,6499,19,18.941378,539
6967,4955,10,8.081463,817
5235,6472,11,7.074343,1005
3499,2862,6,3.288414,374
6620,3180,15,6.465827,777
2255,5947,9,7.530357,633
2678,4567,9,7.822159,553
6467,1446,8,12.586444,1089
3574,3041,19,0.027535,361
1143,995,8,2.042944,117
3798,3623,17,11.057890,285
3490,1127,14,19.669208,301
1171,4094,18,14.792430,216
905,3111,12,0.599812,364
5201,4868,14,20.196221,938
966,5685,13,12.132613,783
4547,395,12,11.746716,967
4359,184,16,20.232347,787
2338,6108,14,6.575784,737
4042,2158,9,5.980174,595
5673,1599,18,5.993264,514
3400,2708,9,7.181133,494
1077,1853,20,0.705277,653
2882,4179,18,9.715038,1190
314,2641,16,1.349751,200
3052,6303,8,15.184873,1105
2039,3440,6,7.549701,358
6935,1281,7,6.995959,1057
5810,2679,18,17.540310,779
3926,120,17,11.277413,851
2608,2522,19,5.501996,109
2560,3113,5,5.335318,140
4492,6412,11,1.960787,1151
6492,553,11,0.437162,890
1446,4278,14,8.278609,1076
6907,6772,9,13.318591,1167
5989,5684,6,8.224777,752
2653,1606,12,10.099540,327
1069,6737,13,2.726368,953
1554,4869,10,20.342817,777
3071,1658,6,16.440394,760
4613,1665,5,9.589596,1125
2672,5391,8,13.972968,191
6075,4092,9,9.516322,1094
1746,4871,5,18.305298,209
1746,1884,7,18.412627,671
4662,3918,13,14.036900,906
5458,1148,6,6.562790,1086
1830,1239,17,9.965422,192
6699,5067,5,15.003515,852
2574,5133,16,18.078477,740
3698,2221,7,5.246597,776
1408,706,17,13.778039,1194
5618,1709,8,5.035554,806
4253,4510,13,11.685890,824
4796,4445,5,12.973139,106
2165,4188,6,13.561875,700
1506,5681,18,18.266226,441
4676,3972,13,0.976127,517
523,3198,20,18.720887,385
114,270,6,14.127705,404
4672,6619,7,12.464012,117
5771,6574,16,14.065352,102
3331,4827,14,1.939354,409
1343,4942,19,13.057402,264
6546,4341,13,20.387936,938
1794,1824,14,6.649553,1117
5878,926,8,16.496359,1065
2433,2798,10,9.984511,388
6513,1804,12,17.652580,656
370,317,7,18.347008,552
6414,6956,18,9.572498,1122
1041,5996,16,18.018245,1025
5049,5667,16,14.070353,278
727,369,13,11.845001,597
1745,175,12,12.546040,242
5897,4317,9,3.519302,950
3244,3119,16,15.799292,258
5021,2346,17,20.365671,916
4600,1761,7,11.033266,1057
3939,1536,13,8.554081,662
4179,5511,6,20.102409,499
5814,6459,19,5.054562,839
3535,1870,6,4.354583,226
4944,4450,19,14.802039,150
6505,4665,6,15.572038,919
4520,1113,20,6.793848,1013
3565,3822,12,10.615094,861
6251,5325,8,4.808900,392
3572,4311,19,6.204763,748
2744,5423,11,8.424967,528
5733,2476,12,13.512693,454
3278,1658,14,7.318106,179
4183,5435,18,13.939382,549
5254,5847,18,11.523930,568
5667,2130,6,8.131137,706
338,4487,19,18.267128,970
2229,5065,15,10.243738,1160
4243,1794,5,2.807914,161
5384,4708,16,11.805266,119
1096,2876,9,7.324999,486
14,4706,8,14.291942,806
6992,403,18,18.541184,733
3771,3477,17,18.712651,565
5601,3284,16,15.308473,764
725,3610,12,13.718044,1094
1652,497,11,1.897194,354
4911,4539,9,6.816182,492
3566,634,12,13.401234,534
5267,1874,16,19.493179,383
6646,2428,11,16.500734,643
1067,50,11,10.055475,696
5647,1646,11,0.367360,164
1008,3746,14,13.429842,298
5159,6681,13,19.457446,620
2635,2583,15,12.747210,999
5992,1539,9,18.824414,715
4119,2982,20,12.242833,897
6727,3089,12,6.216846,215
6853,5935,11,3.195917,576
6657,2318,7,17.507393,113
720,1099,14,2.200320,898
2106,589,11,7.416933,486
4036,4071,8,12.967046,784
3913,5249,18,2.121985,565
2059,441,11,17.257734,983
5845,3005,11,4.348488,375
6118,303,9,12.154669,920
298,4937,19,5.647951,297
360,3445,13,17.443947,790
2434,177,18,12.899907,1086
2401,5182,7,8.136571,581
3580,2678,11,20.225828,375
2245,3238,5,16.745706,1102
6629,975,13,9.493381,465
2728,6768,8,5.731113,334
5605,2888,19,5.532733,1081
3893,5790,5,11.283336,129
5591,1102,19,0.914374,154
6439,6087,17,12.514249,360
4102,3805,9,2.428498,734
5140,6684,6,17.869390,181
2718,3071,20,11.836405,1149
99,222,9,3.899658,515
6489,2656,16,2.096267,898
4083,564,20,3.323953,923
5360,1409,20,11.548021,777
1431,3997,16,18.241356,408
2024,1421,16,6.610665,1158
3687,6976,13,13.013359,694
3089,49,14,2.712189,134
4102,4203,13,7.644547,302
4850,2863,7,10.066175,964
6053,2375,17,15.805981,947
4827,1427,11,9.400506,1177
6694,5281,15,17.452575,202
1752,5014,18,18.988830,378
1962,6369,11,13.613941,387
1621,3223,5,17.991141,549
715,6109,7,19.460339,416
5416,3942,15,11.742905,529
5821,1402,12,1.422247,452
5499,5050,16,1.911929,197
4533,3490,18,1.653431,480
2685,2653,14,14.095490,934
4072,6164,10,19.232399,686
409,3605,20,16.436225,180
2851,2149,16,11.558846,664
523,3620,20,10.838909,1052
3887,6984,5,2.949755,372
1257,1013,5,6.066657,651
3273,5929,6,1.019041,413
2210,6700,12,6.258601,621
15,5973,14,9.481808,316
1664,6104,9,13.732409,277
2854,4146,7,16.976543,949
3829,1077,16,10.943930,1007
204,4780,9,13.452474,393
1357,653,9,12.715583,707
5903,73,16,16.678292,227
2771,6804,16,16.387159,1025
2721,895,15,16.581998,742
4955,1954,13,19.850943,944
3178,1380,20,18.574503,1066
958,5288,14,15.637767,157
3268,4153,5,6.199530,1034
6214,1212,8,19.398998,1160
1840,3973,8,7.222014,770
1769,5223,13,19.278870,257
1109,3633,7,11.542989,931
910,172,6,7.515628,700
1126,615,16,4.922241,513
2487,651,13,7.726989,276
1749,2574,17,12.934669,396
2518,5504,20,1.172495,332
4105,5652,10,4.328326,1057
4514,1243,13,3.414788,531
5863,527,13,16.901850,264
5178,5994,16,2.520721,1160
1473,3320,8,0.450126,376
1529,4191,10,1.703573,1019
2752,1821,8,13.411824,924
3224,5083,10,19.302669,450
1151,3247,13,3.162103,868
10,1578,7,0.547917,614
6376,1800,6,3.669071,596
2993,4364,5,18.080803,214
5855,1466,18,14.052175,801
2459,5529,7,15.865227,1093
3927,685,8,13.162874,912
3596,3759,10,4.817059,510
3682,312,13,13.556063,560
4182,5872,18,18.086657,911
2762,2448,16,12.459970,713
2344,2066,6,9.180751,993
460,287,15,5.512024,852
1627,5897,11,10.315758,620
1187,2491,11,2.031561,134
1646,6329,15,4.296757,1186
5095,3173,20,10.379001,767
762,6110,10,8.099624,773
168,210,19,10.674576,548
1862,6388,18,4.361517,650
1666,3598,16,3.997273,1034
2852,5670,14,7.613327,1078
3281,4218,20,16.991068,823
1601,2986,17,6.800005,163
6018,2390,12,8.747386,516
