Source,Dest,RateLimit,Latency,LeaseCost
53,211,10,5.993674,126
260,457,6,11.219040,1199
469,407,6,1.701663,679
80,463,20,19.563358,751
39,353,16,8.217429,1193
378,287,8,1.438950,1158
111,90,13,17.071335,520
63,304,17,13.038110,438
125,193,9,13.914087,1079
471,286,18,2.813021,1195
296,99,16,8.579623,607
265,17,5,17.516341,1054
51,446,15,3.305761,1113
492,9,13,20.344603,1021
58,497,19,3.872499,781
382,114,14,9.376458,1016
439,468,17,19.023857,956
109,207,12,9.858629,657
56,395,16,1.568315,161
439,2,19,9.172732,681
192,131,9,2.363764,738
200,490,16,11.261425,1002
338,466,16,15.695842,738
289,419,11,8.846933,188
125,99,20,13.367845,738
399,144,8,11.781675,331
351,280,13,1.547979,429
248,135,10,9.103496,694
182,354,12,4.051488,456
297,211,7,18.179057,1147
218,357,18,17.480133,1028
478,319,10,9.820146,397
310,208,17,4.640088,664
269,410,5,18.232530,258
413,7,8,7.910779,559
465,27,9,9.102687,957
212,230,20,1.759322,770
30,439,6,1.556156,143
18,334,6,13.769022,557
244,288,11,14.801902,923
134,57,20,18.338479,539
4,370,14,20.365007,756
412,132,15,6.027495,248
469,197,11,16.023762,853
136,187,15,19.079828,1098
425,410,5,5.649122,876
302,416,13,14.491087,790
382,443,15,4.577303,1164
96,405,6,9.753823,627
410,362,13,3.931806,1186
81,134,13,8.129544,688
21,378,16,0.732433,1120
214,247,8,8.408791,845
70,51,15,0.354660,840
65,214,7,13.365148,884
374,254,15,6.515985,948
198,385,7,8.087845,470
147,281,10,5.725632,964
371,95,8,1.651129,897
498,199,18,3.105480,667
89,251,18,10.478530,290
344,381,8,17.990404,542
309,170,11,15.606573,1136
111,211,14,10.474547,643
315,274,8,19.982841,245
421,352,8,4.602341,921
238,312,13,15.382809,800
423,297,12,13.380647,482
262,277,8,2.871806,381
362,236,9,0.403591,118
314,461,15,20.417593,309
238,414,14,14.744649,1068
295,391,5,11.128865,102
17,118,11,5.191562,1115
323,279,15,13.230679,927
108,457,6,16.232667,360
32,212,18,4.546627,1106
29,387,16,3.719423,964
406,199,13,4.406111,392
406,257,7,16.283140,932
213,129,5,6.525662,981
432,479,7,14.431117,500
301,393,15,17.111699,484
474,473,17,1.913696,494
451,384,11,3.740457,288
451,204,6,5.630222,450
145,108,16,2.244891,858
272,178,17,9.750144,1143
46,168,15,16.323226,451
281,317,8,16.807020,998
146,111,10,0.327807,1159
123,243,13,12.817189,559
63,174,18,9.888046,1178
350,135,12,13.404907,593
76,74,10,6.631752,192
255,205,11,0.991958,651
148,126,12,9.093414,792
448,66,14,0.433672,580
170,428,7,1.387015,960
480,167,12,6.612768,923
279,169,13,15.059413,449
67,363,20,19.275280,760
164,87,15,19.643437,561
15,80,6,1.730930,707
369,347,13,18.349118,1026
116,152,8,2.892315,270
357,306,20,10.790766,463
342,54,5,13.385565,1001
490,49,9,18.731681,364
491,373,18,14.126722,1108
74,291,5,4.914761,143
425,390,17,8.848299,145
306,499,9,0.197933,104
267,80,20,11.423565,1054
138,350,5,20.465501,693
390,215,20,5.386689,964
104,241,15,10.484972,660
22,118,12,2.981561,139
30,425,15,13.863128,249
431,256,5,16.536340,863
377,70,16,3.140291,690
205,328,7,12.415248,527
66,404,7,6.325905,531
315,127,11,20.232401,1054
130,415,16,19.148339,165
385,152,18,5.754884,1086
89,239,16,12.576641,595
206,105,10,1.428144,794
300,281,8,7.375455,158
412,183,20,17.614204,1015
120,0,17,5.658117,485
104,133,14,10.333524,904
400,220,7,15.217320,1136
114,460,12,14.278657,694
93,229,15,3.658420,1138
394,210,10,15.271711,693
130,123,15,0.451797,812
225,298,20,15.816008,191
199,298,12,10.033183,983
473,154,8,9.429370,868
276,119,10,5.347071,714
243,400,17,6.106790,834
118,211,14,6.091014,678
498,129,17,11.704962,199
448,40,6,13.670957,181
398,14,11,6.404304,773
239,183,5,19.417385,278
215,121,16,9.842937,312
397,34,15,3.197031,338
136,160,16,3.836834,495
456,461,15,0.289660,922
134,113,17,8.965255,1170
335,256,9,6.157432,1171
275,362,18,2.921420,768
232,86,6,3.972299,377
4,443,13,11.519836,1145
344,375,13,20.025042,361
6,285,13,20.234068,152
256,63,15,4.162157,551
359,331,11,11.719480,716
305,442,8,6.422400,1197
209,215,10,11.356170,301
178,245,17,14.043231,486
377,291,15,20.237094,414
100,477,15,10.673899,401
123,20,17,8.356837,221
246,338,16,5.704321,994
155,239,20,8.464839,921
471,404,11,4.808842,583
353,312,9,10.446980,1199
424,256,13,20.016648,610
403,84,6,12.693796,849
447,245,15,14.845656,995
231,312,10,17.652953,895
463,470,6,9.269215,616
195,341,11,10.212167,940
438,458,15,9.628641,728
244,421,6,12.024808,394
169,265,7,10.642085,1145
180,276,9,8.361547,944
471,10,11,3.354428,910
376,78,6,1.550293,882
106,330,11,16.973746,907
42,146,13,15.687924,530
374,148,8,13.208480,570
409,176,11,11.500696,191
189,486,20,14.509723,1193
287,40,7,13.287289,274
197,112,8,18.357249,873
336,192,13,4.580852,1124
290,306,8,14.650982,363
335,358,18,6.391420,892
118,55,15,10.861170,810
321,402,9,20.001526,1096
450,156,18,12.858248,726
219,328,5,8.154943,408
170,416,11,18.727908,404
160,49,18,18.537392,330
464,291,18,6.026112,404
351,112,16,12.635215,1177
497,411,10,18.948765,932
379,403,11,7.469696,1105
190,177,16,10.070844,141
376,383,11,16.190987,300
431,274,17,11.030818,1032
487,268,8,15.237124,892
384,21,14,12.509701,168
237,231,19,9.324564,126
87,122,7,0.041343,877
133,357,20,7.873077,436
242,329,10,15.627423,229
242,383,14,5.822276,917
16,391,14,10.582541,432
400,239,15,1.679191,272
359,443,18,19.521383,816
425,233,16,16.635897,257
21,121,12,15.522632,318
493,277,9,17.084978,1053
17,406,6,0.487595,499
145,455,11,1.797021,807
404,129,18,9.959097,935
132,84,5,14.742704,1059
269,205,15,1.490732,787
11,404,14,18.231986,397
102,480,10,14.534425,451
323,268,9,19.948718,593
16,274,13,7.452489,1196
404,5,12,19.705006,1161
146,183,7,8.484398,953
161,418,10,6.950142,886
422,265,10,17.450419,515
427,213,8,5.660948,196
202,368,9,5.195196,285
41,353,13,18.842172,1056
296,451,13,19.924532,337
212,460,9,17.052789,775
418,363,5,5.697687,669
17,451,7,13.184306,696
129,35,12,11.510950,1123
135,30,20,5.533897,1195
476,277,17,9.910507,413
345,1,6,14.669321,753
167,365,5,12.544911,194
434,317,10,15.901487,1138
380,386,20,0.320218,698
404,219,6,11.139154,738
54,71,6,4.432127,1167
62,158,9,7.609175,840
364,41,13,4.813508,288
318,292,13,11.933724,595
221,204,19,16.912577,402
438,61,17,2.443107,978
126,1,13,0.694017,582
281,17,9,5.004637,1036
196,99,7,2.157386,1156
461,196,7,9.175681,196
322,230,8,1.159483,783
248,287,19,9.791441,561
27,434,9,11.393298,193
217,161,5,16.824340,101
339,28,14,3.141640,674
71,109,17,2.147453,798
373,354,16,16.111917,535
381,130,10,15.677930,989
9,14,11,2.042310,539
288,46,20,1.008261,1152
303,146,7,0.961846,279
294,140,10,17.587330,249
96,438,7,15.186741,276
367,418,17,17.373086,522
467,188,11,12.098830,590
498,122,17,14.079860,753
359,226,9,6.456025,139
270,207,12,16.345598,554
14,197,9,7.619175,792
354,420,20,1.244768,988
362,422,15,1.255242,303
341,425,20,12.360858,450
134,447,15,4.318085,1018
446,370,20,4.559881,1036
131,463,15,4.036663,630
297,259,14,1.607077,673
485,234,20,15.422800,471
380,240,5,18.557569,1026
376,379,15,10.518131,528
230,296,8,1.379207,518
127,119,7,20.443153,295
54,434,17,11.083301,221
412,254,19,4.875343,288
39,257,17,19.895173,971
25,448,9,19.855519,739
330,151,16,6.935857,164
384,171,6,0.930280,169
320,318,15,10.755647,834
315,225,15,2.125228,247
345,484,12,15.002261,378
290,411,7,7.703004,585
406,89,19,5.748197,799
173,344,8,6.090471,778
268,114,12,9.215934,115
8,185,6,18.075377,380
