Source,Dest,RateLimit,Latency,LeaseCost
198,185,15,2.364281,839
2079,2447,14,8.126556,894
3741,1348,6,2.045197,1084
1993,43,16,18.333640,1193
2983,4128,9,8.414926,423
675,4698,11,12.822916,960
3422,1365,10,16.744047,1124
4535,4257,18,10.226301,403
3524,3027,18,17.602233,878
3133,3824,19,7.597681,345
4833,964,17,1.391249,623
2395,4102,16,20.182033,311
4934,813,9,0.446516,536
2674,211,17,2.315097,139
4633,2145,12,1.427436,551
3385,700,6,7.134826,119
3363,651,11,11.075505,817
3563,3740,13,15.037129,449
3854,1981,17,6.168885,534
1682,1475,14,14.894976,407
3927,3712,8,6.221433,188
3622,4987,11,16.576804,266
2577,895,13,2.505714,662
863,3449,17,15.599660,1066
1708,2107,20,19.305036,345
2117,2844,10,10.127567,795
2742,1193,12,2.703894,1029
3527,1022,19,15.297046,624
3121,2509,18,13.051949,1032
2974,2465,6,7.124479,677
2773,1046,17,5.236075,898
2363,1412,7,0.346970,791
4618,3311,19,3.909384,625
4143,3062,12,18.034568,751
3915,195,17,0.048408,137
1188,2012,5,18.911891,812
2798,3298,14,15.413075,337
4578,581,5,4.852112,170
2127,4106,14,18.747975,164
3872,3526,15,16.095212,994
1939,1074,9,10.547249,271
3855,3971,17,5.296354,114
2017,1591,17,19.667093,301
3827,3519,10,16.123807,843
3291,4173,10,19.419526,963
2640,466,10,15.746684,523
4951,912,7,8.391475,190
3178,1373,10,4.433428,874
3372,547,16,7.318744,934
106,2378,20,6.919346,844
3958,3981,10,13.014363,313
4078,1462,8,18.085837,117
4810,1231,12,2.975341,788
2085,632,10,12.723566,631
4900,3507,9,9.651335,819
2239,760,7,7.266434,456
418,2555,11,17.074860,153
2505,1488,9,15.480558,588
3146,4484,7,1.972181,123
2183,3570,19,17.554088,261
4045,338,17,6.853761,589
4941,1612,16,6.968833,652
1868,3673,10,14.899244,1190
1059,4701,14,3.591546,855
3806,4791,11,3.312968,181
2046,422,13,1.483699,914
3472,2662,19,17.241797,357
1526,974,14,3.167126,887
3061,4943,14,6.762595,854
545,250,10,16.781734,1180
496,1318,17,4.919042,1182
3739,4064,19,18.779250,372
4953,740,14,3.512771,363
197,4250,17,10.335567,575
204,3069,20,4.378999,110
